Internal temperature area 1 (Celsius degree);Internal temperature area 2 (Celsius degree);External temperature (Celsius degree);HVAC power (kW);Date;Time
14.06;24.217;2.54;6.982;09/03/2022;00:00:00
14.1;24.167;2.65;5.413;09/03/2022;00:15:00
14.1;23.986;2.6;5.554;09/03/2022;00:30:00
14.1;23.912;2.575;5.595;09/03/2022;00:45:00
14.1;24.533;2.48;5.593;09/03/2022;01:00:00
14.1;24.057;2.35;5.711;09/03/2022;01:15:00
14.1;24.2;2.02;4.386;09/03/2022;01:30:00
14.1;24.075;2.175;6.611;09/03/2022;01:45:00
14.1;24.167;2.1;4.64;09/03/2022;02:00:00
14.1;24.022;2.125;5.602;09/03/2022;02:15:00
14.1;23.886;2.15;7.208;09/03/2022;02:30:00
14.1;24.42;2.06;5.753;09/03/2022;02:45:00
14.1;24.45;2.07;4.99;09/03/2022;03:00:00
14.1;23.871;1.76;6.702;09/03/2022;03:15:00
14.1;24.34;1.9;5.929;09/03/2022;03:30:00
14.1;24.4;1.78;5.994;09/03/2022;03:45:00
14.1;24.517;1.6;6.137;09/03/2022;04:00:00
14.1;24.114;1.65;4.611;09/03/2022;04:15:00
14.1;24.075;1.33;7.132;09/03/2022;04:30:00
14.1;23.833;1.275;4.589;09/03/2022;04:45:00
14.1;23.829;1.35;7.254;09/03/2022;05:00:00
14.1;24.24;1.375;6.012;09/03/2022;05:15:00
14.1;24.533;1.59;5.995;09/03/2022;05:30:00
14.1;24.375;1.545;6.291;09/03/2022;05:45:00
14.1;24.417;1.53;5.927;09/03/2022;06:00:00
14.1;24.45;2.02;5.869;09/03/2022;06:15:00
13.7;24.45;1.43;5.869;09/03/2022;06:30:00
13.7;24.533;1.825;5.844;09/03/2022;06:45:00
13.633;24.78;2.22;5.188;09/03/2022;07:00:00
13.729;24.256;3.375;5.256;09/03/2022;07:15:00
13.671;24.525;3.47;5.834;09/03/2022;07:30:00
13.7;25.388;4.085;4.472;09/03/2022;07:45:00
13.7;25.425;5.1;6.124;09/03/2022;08:00:00
13.9;26.34;6.0;5.509;09/03/2022;08:15:00
13.66;26.75;6.37;4.162;09/03/2022;08:30:00
13.7;25.875;6.975;3.317;09/03/2022;08:45:00
13.7;25.725;7.54;3.824;09/03/2022;09:00:00
13.7;25.556;8.23;3.182;09/03/2022;09:15:00
13.74;25.45;8.67;3.003;09/03/2022;09:30:00
13.633;25.483;9.05;3.458;09/03/2022;09:45:00
