Internal temperature area 1 (Celsius degree);Internal temperature area 2 (Celsius degree);External temperature (Celsius degree);HVAC power (kW);Date;Time
21.122;18.4;10.71;0.1;14/11/2021;00:00:00
21.278;18.478;10.69;2.642;14/11/2021;00:15:00
21.262;18.467;10.67;2.044;14/11/2021;00:30:00
21.244;18.489;10.6;2.069;14/11/2021;00:45:00
21.267;18.5;10.62;2.006;14/11/2021;01:00:00
21.175;18.478;10.5;2.204;14/11/2021;01:15:00
21.078;18.411;10.43;2.195;14/11/2021;01:30:00
21.111;18.4;10.45;2.346;14/11/2021;01:45:00
21.167;18.456;10.7;2.332;14/11/2021;02:00:00
21.111;18.429;10.59;2.727;14/11/2021;02:15:00
21.25;18.671;10.51;2.691;14/11/2021;02:30:00
21.188;18.6;10.63;2.74;14/11/2021;02:45:00
21.189;18.588;10.83;2.517;14/11/2021;03:00:00
21.243;18.688;10.795;2.544;14/11/2021;03:15:00
21.162;18.686;10.52;2.725;14/11/2021;03:30:00
21.267;18.689;10.505;1.712;14/11/2021;03:45:00
21.1;18.456;10.49;1.774;14/11/2021;04:00:00
21.238;18.456;10.475;2.064;14/11/2021;04:15:00
21.162;18.422;10.46;2.445;14/11/2021;04:30:00
21.133;18.438;10.39;2.615;14/11/2021;04:45:00
21.178;18.578;10.25;2.91;14/11/2021;05:00:00
21.225;18.737;10.24;2.118;14/11/2021;05:15:00
21.2;18.688;10.2;2.298;14/11/2021;05:30:00
21.144;18.6;10.2;2.214;14/11/2021;05:45:00
21.162;18.578;10.2;2.488;14/11/2021;06:00:00
21.078;18.6;10.13;2.373;14/11/2021;06:15:00
21.029;18.511;10.18;2.506;14/11/2021;06:30:00
21.186;18.525;10.175;2.56;14/11/2021;06:45:00
21.15;18.6;10.17;2.684;14/11/2021;07:00:00
21.138;18.625;10.21;2.861;14/11/2021;07:15:00
21.071;18.687;10.09;2.847;14/11/2021;07:30:00
21.15;18.425;10.09;2.215;14/11/2021;07:45:00
21.213;18.4;10.17;2.683;14/11/2021;08:00:00
21.244;18.533;10.17;2.032;14/11/2021;08:15:00
21.262;18.612;10.21;2.057;14/11/2021;08:30:00
21.275;18.489;10.3;2.072;14/11/2021;08:45:00
21.186;18.544;10.44;2.037;14/11/2021;09:00:00
21.188;18.5;10.49;2.211;14/11/2021;09:15:00
21.2;18.5;10.49;2.471;14/11/2021;09:30:00
21.2;18.55;10.465;2.466;14/11/2021;09:45:00
21.189;18.512;10.63;2.396;14/11/2021;10:00:00
21.2;18.5;10.63;2.29;14/11/2021;10:15:00
21.213;18.5;10.83;2.655;14/11/2021;10:30:00
21.189;18.533;10.91;2.533;14/11/2021;10:45:00
21.189;18.6;10.99;2.538;14/11/2021;11:00:00
21.2;18.475;11.05;2.535;14/11/2021;11:15:00
21.289;18.6;11.06;2.221;14/11/2021;11:30:00
21.4;18.537;11.065;1.78;14/11/2021;11:45:00
21.267;18.4;11.07;1.893;14/11/2021;12:00:00
21.189;18.333;11.03;2.036;14/11/2021;12:15:00
21.138;18.362;11.1;1.964;14/11/2021;12:30:00
21.2;18.433;11.185;2.125;14/11/2021;12:45:00
21.178;18.389;11.28;2.106;14/11/2021;13:00:00
21.286;18.475;11.09;2.295;14/11/2021;13:15:00
21.178;18.388;10.97;2.233;14/11/2021;13:30:00
21.212;18.386;10.89;2.413;14/11/2021;13:45:00
21.156;18.537;10.85;2.532;14/11/2021;14:00:00
21.189;18.478;10.83;2.457;14/11/2021;14:15:00
21.178;18.5;10.76;2.773;14/11/2021;14:30:00
21.262;18.578;10.73;2.499;14/11/2021;14:45:00
21.214;18.543;10.69;2.571;14/11/2021;15:00:00
21.225;18.556;10.7;2.772;14/11/2021;15:15:00
21.086;18.489;10.69;2.73;14/11/2021;15:30:00
21.25;18.633;10.54;1.826;14/11/2021;15:45:00
21.211;18.456;10.5;1.869;14/11/2021;16:00:00
21.178;18.467;10.51;1.98;14/11/2021;16:15:00
21.189;18.433;10.79;1.953;14/11/2021;16:30:00
21.111;18.422;10.79;2.334;14/11/2021;16:45:00
21.075;18.411;10.61;2.281;14/11/2021;17:00:00
21.188;18.456;10.62;2.551;14/11/2021;17:15:00
21.312;18.556;10.47;2.903;14/11/2021;17:30:00
21.3;18.7;10.52;2.177;14/11/2021;17:45:00
21.244;18.611;10.45;2.084;14/11/2021;18:00:00
21.133;18.562;10.57;2.163;14/11/2021;18:15:00
21.129;18.529;10.29;2.386;14/11/2021;18:30:00
21.1;18.6;10.37;2.473;14/11/2021;18:45:00
21.089;18.589;10.35;2.758;14/11/2021;19:00:00
21.175;18.578;10.39;2.689;14/11/2021;19:15:00
21.167;18.775;10.34;2.602;14/11/2021;19:30:00
21.144;18.633;10.31;2.875;14/11/2021;19:45:00
21.112;18.511;10.28;2.638;14/11/2021;20:00:00
21.388;18.771;10.27;1.798;14/11/2021;20:15:00
21.122;18.467;10.11;2.101;14/11/2021;20:30:00
21.125;18.513;10.18;2.497;14/11/2021;20:45:00
21.2;18.525;10.69;2.362;14/11/2021;21:00:00
21.078;18.511;10.435;2.651;14/11/2021;21:15:00
21.111;18.522;10.44;3.052;14/11/2021;21:30:00
21.175;18.522;9.91;2.637;14/11/2021;21:45:00
21.156;18.712;9.81;2.29;14/11/2021;22:00:00
21.212;18.843;9.885;2.451;14/11/2021;22:15:00
21.186;18.712;10.1;2.578;14/11/2021;22:30:00
21.0;18.622;10.16;2.715;14/11/2021;22:45:00
21.167;18.822;9.83;3.303;14/11/2021;23:00:00
21.129;18.729;9.8;3.162;14/11/2021;23:15:00
21.067;18.811;9.85;4.14;14/11/2021;23:30:00
21.156;18.738;9.83;1.78;14/11/2021;23:45:00
21.067;18.6;10.25;1.872;15/11/2021;00:00:00
21.086;18.456;10.045;2.379;15/11/2021;00:15:00
21.088;18.489;9.79;2.654;15/11/2021;00:30:00
21.144;18.678;9.54;3.11;15/11/2021;00:45:00
21.314;18.733;9.42;2.352;15/11/2021;01:00:00
21.1;18.711;9.405;2.242;15/11/2021;01:15:00
21.088;18.578;9.39;2.284;15/11/2021;01:30:00
21.075;18.671;9.365;2.639;15/11/2021;01:45:00
21.056;18.588;9.27;2.914;15/11/2021;02:00:00
21.111;18.762;9.4;3.1;15/11/2021;02:15:00
21.111;18.762;9.53;2.975;15/11/2021;02:30:00
21.25;18.862;9.6;2.713;15/11/2021;02:45:00
21.111;18.8;9.67;3.179;15/11/2021;03:00:00
21.15;18.825;9.5;2.867;15/11/2021;03:15:00
21.178;18.789;9.5;1.768;15/11/2021;03:30:00
21.025;18.578;9.54;2.182;15/11/2021;03:45:00
21.112;18.562;9.76;2.664;15/11/2021;04:00:00
21.212;18.689;9.67;3.074;15/11/2021;04:15:00
21.112;18.8;9.69;2.542;15/11/2021;04:30:00
21.1;18.678;10.035;2.117;15/11/2021;04:45:00
21.1;18.633;9.97;2.362;15/11/2021;05:00:00
21.112;18.578;9.97;2.62;15/11/2021;05:15:00
21.044;18.843;9.91;2.847;15/11/2021;05:30:00
21.078;18.722;9.96;3.164;15/11/2021;05:45:00
21.212;18.8;9.9;3.329;15/11/2021;06:00:00
21.133;18.943;10.27;2.535;15/11/2021;06:15:00
21.271;18.943;10.44;2.629;15/11/2021;06:30:00
22.225;19.925;10.41;7.333;15/11/2021;06:45:00
23.5;20.743;10.72;6.998;15/11/2021;07:00:00
23.7;20.875;10.59;6.402;15/11/2021;07:15:00
23.617;21.15;10.74;6.703;15/11/2021;07:30:00
23.6;21.85;10.765;8.167;15/11/2021;07:45:00
22.578;21.022;10.7;8.417;15/11/2021;08:00:00
24.112;22.65;10.865;7.977;15/11/2021;08:15:00
24.143;23.314;11.03;6.14;15/11/2021;08:30:00
24.125;22.838;11.34;5.728;15/11/2021;08:45:00
24.05;22.133;11.61;5.497;15/11/2021;09:00:00
24.18;22.071;11.635;5.164;15/11/2021;09:15:00
24.167;22.071;11.7;5.485;15/11/2021;09:30:00
24.1;22.067;11.71;5.279;15/11/2021;09:45:00
24.14;22.1;11.8;5.286;15/11/2021;10:00:00
24.217;22.1;11.94;5.224;15/11/2021;10:15:00
24.2;22.1;11.92;5.203;15/11/2021;10:30:00
24.2;22.16;11.975;5.112;15/11/2021;10:45:00
24.262;22.1;12.33;4.192;15/11/2021;11:00:00
23.733;21.675;12.465;3.47;15/11/2021;11:15:00
23.786;21.371;12.47;4.501;15/11/2021;11:30:00
24.24;21.844;12.53;4.556;15/11/2021;11:45:00
24.24;21.9;12.49;4.304;15/11/2021;12:00:00
24.125;21.725;12.505;3.374;15/11/2021;12:15:00
23.871;21.457;12.52;3.467;15/11/2021;12:30:00
23.889;21.675;12.52;3.971;15/11/2021;12:45:00
24.075;21.833;12.58;3.844;15/11/2021;13:00:00
24.2;22.5;12.51;3.433;15/11/2021;13:15:00
