Internal temperature area 1 (Celsius degree);Internal temperature area 2 (Celsius degree);External temperature (Celsius degree);HVAC power (kW);Date;Time
16.875;21.233;14.67;0.155;08/05/2022;00:00:00
16.95;21.36;14.67;3.822;08/05/2022;00:15:00
17.417;22.3;14.515;1.403;08/05/2022;00:30:00
17.08;21.85;14.53;0.152;08/05/2022;00:45:00
16.867;21.4;14.52;0.056;08/05/2022;01:00:00
16.833;21.2;14.52;0.039;08/05/2022;01:15:00
16.85;21.5;14.425;2.919;08/05/2022;01:30:00
17.1;21.8;14.52;0.155;08/05/2022;01:45:00
16.92;21.45;14.52;0.146;08/05/2022;02:00:00
16.78;21.3;14.52;2.233;08/05/2022;02:15:00
17.033;21.78;14.52;0.831;08/05/2022;02:30:00
16.86;21.45;14.33;0.149;08/05/2022;02:45:00
16.76;21.425;14.5;2.944;08/05/2022;03:00:00
17.0;21.76;14.5;0.15;08/05/2022;03:15:00
16.783;21.4;14.39;0.143;08/05/2022;03:30:00
16.98;21.671;14.06;4.611;08/05/2022;03:45:00
17.225;22.15;14.06;0.151;08/05/2022;04:00:00
16.78;21.6;14.04;0.126;08/05/2022;04:15:00
16.714;21.267;14.04;1.54;08/05/2022;04:30:00
17.067;21.8;14.04;2.165;08/05/2022;04:45:00
16.82;21.6;14.045;0.153;08/05/2022;05:00:00
16.829;21.4;14.04;3.266;08/05/2022;05:15:00
17.14;21.86;14.23;0.148;08/05/2022;05:30:00
16.833;21.45;14.33;0.134;08/05/2022;05:45:00
17.067;21.583;14.33;3.549;08/05/2022;06:00:00
17.1;21.85;14.44;0.145;08/05/2022;06:15:00
16.933;21.45;14.61;0.106;08/05/2022;06:30:00
16.886;21.333;14.61;2.824;08/05/2022;06:45:00
17.483;22.183;14.94;1.98;08/05/2022;07:00:00
17.2;21.85;15.49;0.138;08/05/2022;07:15:00
16.967;21.4;15.765;0.055;08/05/2022;07:30:00
16.95;21.2;15.94;0.035;08/05/2022;07:45:00
17.05;21.34;16.435;3.36;08/05/2022;08:00:00
17.717;22.3;16.51;1.773;08/05/2022;08:15:00
17.443;21.95;16.305;0.144;08/05/2022;08:30:00
17.257;21.5;17.29;0.052;08/05/2022;08:45:00
17.15;21.3;17.545;0.039;08/05/2022;09:00:00
17.15;21.2;17.76;0.121;08/05/2022;09:15:00
