Internal temperature area 1 (Celsius degree);Internal temperature area 2 (Celsius degree);External temperature (Celsius degree);HVAC power (kW);Date;Time
22.0;22.5;11.2;3.231;14/11/2021;00:00:00
22.25;22.5;11.2;3.929;14/11/2021;00:15:00
21.5;22.5;11.21;2.988;14/11/2021;00:30:00
21.5;22.5;11.2;3.238;14/11/2021;00:45:00
21.5;22.5;11.37;3.335;14/11/2021;01:00:00
22.5;22.5;11.3;3.492;14/11/2021;01:15:00
21.5;22.5;11.29;3.056;14/11/2021;01:30:00
21.5;22.5;11.26;3.245;14/11/2021;01:45:00
21.5;22.5;11.23;3.238;14/11/2021;02:00:00
21.5;22.5;11.43;3.313;14/11/2021;02:15:00
22.0;22.5;11.42;2.97;14/11/2021;02:30:00
21.5;22.5;11.42;3.311;14/11/2021;02:45:00
22.5;22.5;11.42;3.146;14/11/2021;03:00:00
21.5;22.5;11.31;3.122;14/11/2021;03:15:00
21.5;22.5;11.38;3.166;14/11/2021;03:30:00
21.5;22.5;11.265;3.37;14/11/2021;03:45:00
17.5;18.0;11.15;6.371;14/11/2021;04:00:00
17.5;22.6;11.14;3.57;14/11/2021;04:15:00
17.5;22.429;11.15;3.44;14/11/2021;04:30:00
17.5;22.429;11.16;3.335;14/11/2021;04:45:00
17.5;22.429;11.13;3.362;14/11/2021;05:00:00
22.0;22.5;11.22;3.463;14/11/2021;05:15:00
22.0;22.5;11.21;3.272;14/11/2021;05:30:00
22.0;22.5;11.17;2.791;14/11/2021;05:45:00
22.0;22.5;11.22;3.448;14/11/2021;06:00:00
22.5;22.5;11.22;3.497;14/11/2021;06:15:00
21.5;22.5;11.13;2.827;14/11/2021;06:30:00
21.5;22.5;11.13;3.286;14/11/2021;06:45:00
21.5;22.5;11.14;3.266;14/11/2021;07:00:00
22.333;23.0;11.13;4.195;14/11/2021;07:15:00
21.667;22.0;11.15;2.932;14/11/2021;07:30:00
21.667;22.0;11.11;3.094;14/11/2021;07:45:00
21.667;22.0;11.07;3.239;14/11/2021;08:00:00
21.667;22.0;11.01;3.255;14/11/2021;08:15:00
22.0;23.0;11.1;3.716;14/11/2021;08:30:00
21.667;22.455;11.105;2.558;14/11/2021;08:45:00
22.5;22.455;11.09;3.192;14/11/2021;09:00:00
21.5;22.455;11.03;3.153;14/11/2021;09:15:00
21.5;22.455;11.21;3.211;14/11/2021;09:30:00
22.3;22.455;11.195;3.144;14/11/2021;09:45:00
22.3;22.455;11.25;3.153;14/11/2021;10:00:00
22.3;22.455;11.225;3.294;14/11/2021;10:15:00
22.667;23.0;11.27;4.11;14/11/2021;10:30:00
21.667;22.4;11.34;2.645;14/11/2021;10:45:00
21.667;22.4;11.57;3.098;14/11/2021;11:00:00
22.5;22.5;11.555;2.942;14/11/2021;11:15:00
21.5;22.5;11.59;3.149;14/11/2021;11:30:00
21.5;22.5;11.665;3.133;14/11/2021;11:45:00
22.4;22.5;11.74;2.699;14/11/2021;12:00:00
22.0;22.5;11.7;3.267;14/11/2021;12:15:00
22.0;22.5;11.7;3.13;14/11/2021;12:30:00
22.5;22.5;11.94;2.66;14/11/2021;12:45:00
21.5;22.5;11.93;3.395;14/11/2021;13:00:00
22.5;22.5;11.84;3.236;14/11/2021;13:15:00
21.5;22.5;11.88;2.738;14/11/2021;13:30:00
21.5;22.5;12.0;3.121;14/11/2021;13:45:00
22.3;22.5;11.99;2.853;14/11/2021;14:00:00
22.3;22.5;11.91;3.255;14/11/2021;14:15:00
22.5;22.5;11.93;2.83;14/11/2021;14:30:00
21.5;22.667;11.92;3.166;14/11/2021;14:45:00
22.167;22.333;11.86;2.919;14/11/2021;15:00:00
22.167;22.5;11.81;3.222;14/11/2021;15:15:00
22.357;22.5;11.79;3.055;14/11/2021;15:30:00
22.357;22.5;11.66;3.11;14/11/2021;15:45:00
22.385;22.5;11.59;3.127;14/11/2021;16:00:00
21.857;22.5;11.52;3.743;14/11/2021;16:15:00
21.857;22.5;11.62;3.096;14/11/2021;16:30:00
22.5;22.5;11.64;2.973;14/11/2021;16:45:00
21.5;22.5;11.63;3.274;14/11/2021;17:00:00
21.5;22.5;11.57;3.2;14/11/2021;17:15:00
21.5;22.5;11.83;3.194;14/11/2021;17:30:00
21.5;22.5;11.79;3.265;14/11/2021;17:45:00
22.0;22.5;11.75;3.248;14/11/2021;18:00:00
21.5;22.5;11.77;3.06;14/11/2021;18:15:00
21.5;22.5;11.66;3.226;14/11/2021;18:30:00
23.0;22.5;11.66;3.265;14/11/2021;18:45:00
21.667;22.5;11.7;3.009;14/11/2021;19:00:00
21.667;22.5;11.63;3.184;14/11/2021;19:15:00
21.667;22.5;11.48;3.222;14/11/2021;19:30:00
22.2;22.5;11.44;2.776;14/11/2021;19:45:00
22.0;22.5;11.4;3.791;14/11/2021;20:00:00
22.0;22.5;11.34;3.295;14/11/2021;20:15:00
22.0;22.5;11.45;3.298;14/11/2021;20:30:00
22.0;22.5;11.5;3.164;14/11/2021;20:45:00
22.0;22.5;11.44;3.218;14/11/2021;21:00:00
22.0;22.5;11.4;3.333;14/11/2021;21:15:00
22.0;22.5;11.32;3.347;14/11/2021;21:30:00
