External temperature (Celsius degree);Date;Time
14.67;08/05/2022;00:00:00
14.67;08/05/2022;00:15:00
14.515;08/05/2022;00:30:00
14.53;08/05/2022;00:45:00
14.52;08/05/2022;01:00:00
14.52;08/05/2022;01:15:00
14.425;08/05/2022;01:30:00
14.52;08/05/2022;01:45:00
14.52;08/05/2022;02:00:00
14.52;08/05/2022;02:15:00
14.52;08/05/2022;02:30:00
14.33;08/05/2022;02:45:00
14.5;08/05/2022;03:00:00
14.5;08/05/2022;03:15:00
14.39;08/05/2022;03:30:00
14.06;08/05/2022;03:45:00
14.06;08/05/2022;04:00:00
14.04;08/05/2022;04:15:00
14.04;08/05/2022;04:30:00
14.04;08/05/2022;04:45:00
14.045;08/05/2022;05:00:00
14.04;08/05/2022;05:15:00
14.23;08/05/2022;05:30:00
14.33;08/05/2022;05:45:00
14.33;08/05/2022;06:00:00
14.44;08/05/2022;06:15:00
14.61;08/05/2022;06:30:00
14.61;08/05/2022;06:45:00
14.94;08/05/2022;07:00:00
15.49;08/05/2022;07:15:00
15.765;08/05/2022;07:30:00
15.94;08/05/2022;07:45:00
16.435;08/05/2022;08:00:00
16.51;08/05/2022;08:15:00
16.305;08/05/2022;08:30:00
17.29;08/05/2022;08:45:00
17.545;08/05/2022;09:00:00
17.76;08/05/2022;09:15:00
18.0;08/05/2022;09:30:00
18.06;08/05/2022;09:45:00
18.165;08/05/2022;10:00:00
18.24;08/05/2022;10:15:00
18.58;08/05/2022;10:30:00
18.22;08/05/2022;10:45:00
18.2;08/05/2022;11:00:00
17.92;08/05/2022;11:15:00
17.895;08/05/2022;11:30:00
17.65;08/05/2022;11:45:00
18.795;08/05/2022;12:00:00
19.0;08/05/2022;12:15:00
19.75;08/05/2022;12:30:00
20.12;08/05/2022;12:45:00
20.65;08/05/2022;13:00:00
20.93;08/05/2022;13:15:00
21.195;08/05/2022;13:30:00
21.57;08/05/2022;13:45:00
21.55;08/05/2022;14:00:00
21.72;08/05/2022;14:15:00
21.7;08/05/2022;14:30:00
20.72;08/05/2022;14:45:00
20.96;08/05/2022;15:00:00
20.65;08/05/2022;15:15:00
20.625;08/05/2022;15:30:00
20.6;08/05/2022;15:45:00
20.575;08/05/2022;16:00:00
20.36;08/05/2022;16:15:00
20.33;08/05/2022;16:30:00
20.33;08/05/2022;16:45:00
19.89;08/05/2022;17:00:00
19.45;08/05/2022;17:15:00
19.405;08/05/2022;17:30:00
19.41;08/05/2022;17:45:00
18.51;08/05/2022;18:00:00
18.22;08/05/2022;18:15:00
18.19;08/05/2022;18:30:00
15.66;08/05/2022;18:45:00
15.435;08/05/2022;19:00:00
15.21;08/05/2022;19:15:00
15.445;08/05/2022;19:30:00
14.7;08/05/2022;19:45:00
14.57;08/05/2022;20:00:00
14.45;08/05/2022;20:15:00
13.98;08/05/2022;20:30:00
13.96;08/05/2022;20:45:00
13.705;08/05/2022;21:00:00
13.7;08/05/2022;21:15:00
14.89;08/05/2022;21:30:00
13.89;08/05/2022;21:45:00
14.36;08/05/2022;22:00:00
14.84;08/05/2022;22:15:00
14.565;08/05/2022;22:30:00
14.47;08/05/2022;22:45:00
14.51;08/05/2022;23:00:00
14.51;08/05/2022;23:15:00
14.375;08/05/2022;23:30:00
14.19;08/05/2022;23:45:00
16.04;14/05/2022;00:00:00
15.93;14/05/2022;00:15:00
15.53;14/05/2022;00:30:00
15.45;14/05/2022;00:45:00
15.28;14/05/2022;01:00:00
14.9;14/05/2022;01:15:00
14.9;14/05/2022;01:30:00
14.41;14/05/2022;01:45:00
14.53;14/05/2022;02:00:00
14.65;14/05/2022;02:15:00
14.615;14/05/2022;02:30:00
14.52;14/05/2022;02:45:00
14.485;14/05/2022;03:00:00
14.47;14/05/2022;03:15:00
14.63;14/05/2022;03:30:00
14.71;14/05/2022;03:45:00
14.71;14/05/2022;04:00:00
14.3;14/05/2022;04:15:00
14.705;14/05/2022;04:30:00
15.09;14/05/2022;04:45:00
15.23;14/05/2022;05:00:00
15.37;14/05/2022;05:15:00
15.61;14/05/2022;05:30:00
15.84;14/05/2022;05:45:00
16.135;14/05/2022;06:00:00
16.77;14/05/2022;06:15:00
17.13;14/05/2022;06:30:00
17.49;14/05/2022;06:45:00
19.11;14/05/2022;07:00:00
19.41;14/05/2022;07:15:00
18.655;14/05/2022;07:30:00
19.81;14/05/2022;07:45:00
19.76;14/05/2022;08:00:00
20.18;14/05/2022;08:15:00
20.17;14/05/2022;08:30:00
21.42;14/05/2022;08:45:00
21.09;14/05/2022;09:00:00
22.33;14/05/2022;09:15:00
22.01;14/05/2022;09:30:00
23.57;14/05/2022;09:45:00
23.47;14/05/2022;10:00:00
23.24;14/05/2022;10:15:00
23.52;14/05/2022;10:30:00
23.8;14/05/2022;10:45:00
24.86;14/05/2022;11:00:00
25.68;14/05/2022;11:15:00
25.34;14/05/2022;11:30:00
25.73;14/05/2022;11:45:00
26.08;14/05/2022;12:00:00
26.33;14/05/2022;12:15:00
26.68;14/05/2022;12:30:00
26.64;14/05/2022;12:45:00
26.91;14/05/2022;13:00:00
27.32;14/05/2022;13:15:00
27.555;14/05/2022;13:30:00
26.88;14/05/2022;13:45:00
27.435;14/05/2022;14:00:00
26.86;14/05/2022;14:15:00
27.24;14/05/2022;14:30:00
26.62;14/05/2022;14:45:00
26.35;14/05/2022;15:00:00
25.97;14/05/2022;15:15:00
26.01;14/05/2022;15:30:00
23.97;14/05/2022;15:45:00
24.56;14/05/2022;16:00:00
25.11;14/05/2022;16:15:00
24.22;14/05/2022;16:30:00
22.57;14/05/2022;16:45:00
22.275;14/05/2022;17:00:00
22.82;14/05/2022;17:15:00
22.605;14/05/2022;17:30:00
19.59;14/05/2022;17:45:00
19.09;14/05/2022;18:00:00
18.81;14/05/2022;18:15:00
20.39;14/05/2022;18:30:00
18.1;14/05/2022;18:45:00
17.77;14/05/2022;19:00:00
17.44;14/05/2022;19:15:00
17.43;14/05/2022;19:30:00
16.9;14/05/2022;19:45:00
16.985;14/05/2022;20:00:00
17.06;14/05/2022;20:15:00
16.96;14/05/2022;20:30:00
17.11;14/05/2022;20:45:00
16.985;14/05/2022;21:00:00
16.75;14/05/2022;21:15:00
16.7;14/05/2022;21:30:00
16.65;14/05/2022;21:45:00
16.64;14/05/2022;22:00:00
16.64;14/05/2022;22:15:00
17.68;14/05/2022;22:30:00
17.38;14/05/2022;22:45:00
17.175;14/05/2022;23:00:00
17.5;14/05/2022;23:15:00
17.39;14/05/2022;23:30:00
16.93;14/05/2022;23:45:00
17.075;15/05/2022;00:00:00
17.06;15/05/2022;00:15:00
17.06;15/05/2022;00:30:00
16.91;15/05/2022;00:45:00
16.77;15/05/2022;01:00:00
16.89;15/05/2022;01:15:00
16.76;15/05/2022;01:30:00
16.71;15/05/2022;01:45:00
16.85;15/05/2022;02:00:00
16.86;15/05/2022;02:15:00
16.64;15/05/2022;02:30:00
16.64;15/05/2022;02:45:00
16.25;15/05/2022;03:00:00
15.97;15/05/2022;03:15:00
16.06;15/05/2022;03:30:00
16.1;15/05/2022;03:45:00
16.09;15/05/2022;04:00:00
16.08;15/05/2022;04:15:00
15.99;15/05/2022;04:30:00
15.99;15/05/2022;04:45:00
16.06;15/05/2022;05:00:00
16.04;15/05/2022;05:15:00
16.39;15/05/2022;05:30:00
17.27;15/05/2022;05:45:00
17.575;15/05/2022;06:00:00
17.78;15/05/2022;06:15:00
18.63;15/05/2022;06:30:00
19.28;15/05/2022;06:45:00
19.9;15/05/2022;07:00:00
20.17;15/05/2022;07:15:00
20.57;15/05/2022;07:30:00
21.02;15/05/2022;07:45:00
21.235;15/05/2022;08:00:00
21.78;15/05/2022;08:15:00
22.04;15/05/2022;08:30:00
22.74;15/05/2022;08:45:00
23.11;15/05/2022;09:00:00
23.56;15/05/2022;09:15:00
24.305;15/05/2022;09:30:00
25.15;15/05/2022;09:45:00
25.415;15/05/2022;10:00:00
25.7;15/05/2022;10:15:00
25.83;15/05/2022;10:30:00
26.01;15/05/2022;10:45:00
26.345;15/05/2022;11:00:00
26.68;15/05/2022;11:15:00
26.86;15/05/2022;11:30:00
26.93;15/05/2022;11:45:00
27.86;15/05/2022;12:00:00
27.75;15/05/2022;12:15:00
27.27;15/05/2022;12:30:00
27.2;15/05/2022;12:45:00
28.57;15/05/2022;13:00:00
28.49;15/05/2022;13:15:00
27.985;15/05/2022;13:30:00
28.68;15/05/2022;13:45:00
28.025;15/05/2022;14:00:00
27.84;15/05/2022;14:15:00
27.525;15/05/2022;14:30:00
25.26;15/05/2022;14:45:00
24.485;15/05/2022;15:00:00
23.15;15/05/2022;15:15:00
25.1;15/05/2022;15:30:00
25.47;15/05/2022;15:45:00
25.325;15/05/2022;16:00:00
25.57;15/05/2022;16:15:00
25.61;15/05/2022;16:30:00
22.8;15/05/2022;16:45:00
22.82;15/05/2022;17:00:00
23.27;15/05/2022;17:15:00
23.475;15/05/2022;17:30:00
23.41;15/05/2022;17:45:00
20.335;15/05/2022;18:00:00
20.16;15/05/2022;18:15:00
21.09;15/05/2022;18:30:00
19.19;15/05/2022;18:45:00
19.145;15/05/2022;19:00:00
19.1;15/05/2022;19:15:00
19.0;15/05/2022;19:30:00
18.8;15/05/2022;19:45:00
18.54;15/05/2022;20:00:00
18.28;15/05/2022;20:15:00
18.4;15/05/2022;20:30:00
18.1;15/05/2022;20:45:00
18.08;15/05/2022;21:00:00
18.09;15/05/2022;21:15:00
18.37;15/05/2022;21:30:00
18.65;15/05/2022;21:45:00
18.24;15/05/2022;22:00:00
18.24;15/05/2022;22:15:00
17.99;15/05/2022;22:30:00
17.75;15/05/2022;22:45:00
17.71;15/05/2022;23:00:00
17.75;15/05/2022;23:15:00
17.565;15/05/2022;23:30:00
17.57;15/05/2022;23:45:00
17.47;16/05/2022;00:00:00
17.62;16/05/2022;00:15:00
17.565;16/05/2022;00:30:00
17.51;16/05/2022;00:45:00
17.48;16/05/2022;01:00:00
17.39;16/05/2022;01:15:00
17.37;16/05/2022;01:30:00
17.35;16/05/2022;01:45:00
17.005;16/05/2022;02:00:00
16.86;16/05/2022;02:15:00
16.715;16/05/2022;02:30:00
16.69;16/05/2022;02:45:00
16.76;16/05/2022;03:00:00
16.58;16/05/2022;03:15:00
16.47;16/05/2022;03:30:00
16.36;16/05/2022;03:45:00
16.545;16/05/2022;04:00:00
16.77;16/05/2022;04:15:00
16.975;16/05/2022;04:30:00
16.93;16/05/2022;04:45:00
17.02;16/05/2022;05:00:00
17.21;16/05/2022;05:15:00
17.565;16/05/2022;05:30:00
18.03;16/05/2022;05:45:00
18.665;16/05/2022;06:00:00
18.82;16/05/2022;06:15:00
19.3;16/05/2022;06:30:00
20.41;16/05/2022;06:45:00
20.92;16/05/2022;07:00:00
20.9;16/05/2022;07:15:00
21.19;16/05/2022;07:30:00
22.49;16/05/2022;07:45:00
22.305;16/05/2022;08:00:00
22.12;16/05/2022;08:15:00
22.25;16/05/2022;08:30:00
21.85;16/05/2022;08:45:00
23.99;16/05/2022;09:00:00
24.35;16/05/2022;09:15:00
23.97;16/05/2022;09:30:00
25.4;16/05/2022;09:45:00
25.74;16/05/2022;10:00:00
25.94;16/05/2022;10:15:00
25.9;16/05/2022;10:30:00
26.56;16/05/2022;10:45:00
26.645;16/05/2022;11:00:00
26.74;16/05/2022;11:15:00
26.9;16/05/2022;11:30:00
26.39;16/05/2022;11:45:00
26.92;16/05/2022;12:00:00
27.07;16/05/2022;12:15:00
27.22;16/05/2022;12:30:00
27.29;16/05/2022;12:45:00
26.815;16/05/2022;13:00:00
26.63;16/05/2022;13:15:00
26.63;16/05/2022;13:30:00
26.45;16/05/2022;13:45:00
26.29;16/05/2022;14:00:00
25.96;16/05/2022;14:15:00
25.86;16/05/2022;14:30:00
23.53;16/05/2022;14:45:00
23.08;16/05/2022;15:00:00
25.3;16/05/2022;15:15:00
25.24;16/05/2022;15:30:00
26.03;16/05/2022;15:45:00
24.39;16/05/2022;16:00:00
23.53;16/05/2022;16:15:00
24.38;16/05/2022;16:30:00
22.64;16/05/2022;16:45:00
21.13;16/05/2022;17:00:00
20.64;16/05/2022;17:15:00
21.13;16/05/2022;17:30:00
20.41;16/05/2022;17:45:00
19.27;16/05/2022;18:00:00
18.725;16/05/2022;18:15:00
18.57;16/05/2022;18:30:00
17.71;16/05/2022;18:45:00
16.83;16/05/2022;19:00:00
16.705;16/05/2022;19:15:00
16.77;16/05/2022;19:30:00
16.795;16/05/2022;19:45:00
16.64;16/05/2022;20:00:00
17.76;16/05/2022;20:15:00
17.69;16/05/2022;20:30:00
17.59;16/05/2022;20:45:00
16.81;16/05/2022;21:00:00
17.53;16/05/2022;21:15:00
17.54;16/05/2022;21:30:00
17.555;16/05/2022;21:45:00
17.57;16/05/2022;22:00:00
17.58;16/05/2022;22:15:00
17.54;16/05/2022;22:30:00
17.54;16/05/2022;22:45:00
17.52;16/05/2022;23:00:00
17.29;16/05/2022;23:15:00
17.28;16/05/2022;23:30:00
17.21;16/05/2022;23:45:00
19.14;19/05/2022;00:00:00
18.68;19/05/2022;00:15:00
18.59;19/05/2022;00:30:00
18.56;19/05/2022;00:45:00
18.07;19/05/2022;01:00:00
18.07;19/05/2022;01:15:00
17.7;19/05/2022;01:30:00
17.64;19/05/2022;01:45:00
18.01;19/05/2022;02:00:00
18.07;19/05/2022;02:15:00
18.07;19/05/2022;02:30:00
17.78;19/05/2022;02:45:00
17.21;19/05/2022;03:00:00
17.07;19/05/2022;03:15:00
16.98;19/05/2022;03:30:00
16.875;19/05/2022;03:45:00
16.89;19/05/2022;04:00:00
16.82;19/05/2022;04:15:00
16.85;19/05/2022;04:30:00
17.06;19/05/2022;04:45:00
17.27;19/05/2022;05:00:00
17.355;19/05/2022;05:15:00
17.32;19/05/2022;05:30:00
18.34;19/05/2022;05:45:00
18.4;19/05/2022;06:00:00
19.38;19/05/2022;06:15:00
19.48;19/05/2022;06:30:00
19.275;19/05/2022;06:45:00
19.03;19/05/2022;07:00:00
19.25;19/05/2022;07:15:00
18.86;19/05/2022;07:30:00
20.425;19/05/2022;07:45:00
21.03;19/05/2022;08:00:00
21.04;19/05/2022;08:15:00
21.1;19/05/2022;08:30:00
21.415;19/05/2022;08:45:00
22.17;19/05/2022;09:00:00
22.085;19/05/2022;09:15:00
22.04;19/05/2022;09:30:00
22.605;19/05/2022;09:45:00
22.44;19/05/2022;10:00:00
23.065;19/05/2022;10:15:00
22.84;19/05/2022;10:30:00
24.15;19/05/2022;10:45:00
25.46;19/05/2022;11:00:00
24.29;19/05/2022;11:15:00
25.39;19/05/2022;11:30:00
25.705;19/05/2022;11:45:00
26.02;19/05/2022;12:00:00
26.34;19/05/2022;12:15:00
26.15;19/05/2022;12:30:00
26.68;19/05/2022;12:45:00
26.27;19/05/2022;13:00:00
26.95;19/05/2022;13:15:00
26.77;19/05/2022;13:30:00
26.965;19/05/2022;13:45:00
26.85;19/05/2022;14:00:00
26.79;19/05/2022;14:15:00
26.51;19/05/2022;14:30:00
27.17;19/05/2022;14:45:00
