Date and time,External temperature (Celsius degree)
2021-11-14 00:00:00,11.22
2021-11-14 00:30:00,11.2
2021-11-14 00:45:00,11.15
2021-11-14 01:00:00,11.15
2021-11-14 01:15:00,11.085
2021-11-14 02:00:00,11.0
2021-11-14 02:15:00,10.97
2021-11-14 02:30:00,10.94
2021-11-14 02:45:00,10.91
2021-11-14 03:00:00,10.92
2021-11-14 03:15:00,10.93
2021-11-14 03:30:00,10.88
2021-11-14 04:00:00,10.92
2021-11-14 04:15:00,10.89
2021-11-14 04:30:00,10.86
2021-11-14 04:45:00,10.87
2021-11-14 05:15:00,10.84
2021-11-14 05:45:00,10.81
2021-11-14 06:00:00,10.81
2021-11-14 06:15:00,10.79
2021-11-14 06:45:00,10.75
2021-11-14 07:15:00,10.75
2021-11-14 07:30:00,10.9
2021-11-14 07:45:00,10.925
2021-11-14 08:00:00,11.0
2021-11-14 08:30:00,11.12
2021-11-14 08:45:00,11.145
2021-11-14 09:00:00,11.17
2021-11-14 09:15:00,11.254999999999999
2021-11-14 09:30:00,11.25
2021-11-14 09:45:00,11.325
2021-11-14 10:00:00,11.28
2021-11-14 10:30:00,11.31
2021-11-14 10:45:00,11.395
2021-11-14 11:00:00,11.48
2021-11-14 11:15:00,11.47
2021-11-14 11:30:00,11.47
2021-11-14 11:45:00,11.5
2021-11-14 12:00:00,11.53
2021-11-14 12:15:00,11.64
2021-11-14 12:30:00,11.63
2021-11-14 12:45:00,11.515
2021-11-14 13:00:00,11.47
2021-11-14 13:15:00,11.6
2021-11-14 13:30:00,11.54
2021-11-14 13:45:00,11.504999999999999
2021-11-14 14:00:00,11.47
2021-11-14 14:15:00,11.31
2021-11-14 14:30:00,11.34
2021-11-14 14:45:00,11.32
2021-11-14 15:00:00,11.31
2021-11-14 15:45:00,11.19
2021-11-14 16:00:00,11.11
2021-11-14 16:15:00,11.1
2021-11-14 16:30:00,11.09
2021-11-14 16:45:00,11.01
2021-11-14 17:00:00,10.99
2021-11-14 17:15:00,10.88
2021-11-14 17:30:00,10.88
2021-11-14 17:45:00,10.86
2021-11-14 18:00:00,10.84
2021-11-14 18:15:00,10.82
2021-11-14 18:30:00,10.8
2021-11-14 18:45:00,10.78
2021-11-14 19:15:00,10.735
2021-11-14 19:30:00,10.75
2021-11-14 19:45:00,10.73
2021-11-14 20:00:00,10.71
2021-11-14 20:45:00,10.83
2021-11-14 21:00:00,10.75
2021-11-14 21:15:00,10.745000000000001
2021-11-14 21:45:00,10.74
2021-11-14 22:00:00,10.75
2021-11-14 22:45:00,10.745000000000001
2021-11-14 23:00:00,10.81
2021-11-14 23:30:00,10.84
2021-11-14 23:45:00,11.01
2021-11-15 01:00:00,10.94
2021-11-15 01:15:00,10.91
2021-11-15 02:00:00,10.76
2021-11-15 02:45:00,10.65
2021-11-15 03:00:00,10.64
2021-11-15 03:15:00,10.625
2021-11-15 04:00:00,10.41
2021-11-15 04:30:00,10.34
2021-11-15 05:15:00,10.23
2021-11-15 07:15:00,10.21
2021-11-15 07:30:00,10.19
2021-11-15 07:45:00,10.19
2021-11-15 08:00:00,10.2
2021-11-15 08:15:00,10.23
2021-11-15 08:30:00,10.26
2021-11-15 08:45:00,10.31
2021-11-15 09:00:00,10.38
2021-11-15 09:15:00,10.585
2021-11-15 09:30:00,10.64
2021-11-15 09:45:00,10.65
2021-11-15 10:00:00,11.11
2021-11-15 10:15:00,11.14
2021-11-15 10:30:00,11.19
2021-11-15 10:45:00,11.18
2021-11-15 11:00:00,11.28
2021-11-15 11:15:00,11.36
2021-11-15 11:30:00,11.45
2021-11-15 13:45:00,11.55
2021-11-15 14:00:00,11.57
2021-11-15 14:15:00,11.600000000000001
2021-11-15 14:30:00,11.63
2021-11-15 14:45:00,11.45
2021-11-15 15:00:00,11.39
2021-11-15 15:15:00,11.379999999999999
2021-11-15 15:30:00,11.33
2021-11-15 15:45:00,11.28
2021-11-15 16:00:00,11.15
2021-11-15 16:15:00,11.079999999999998
2021-11-15 16:30:00,11.03
2021-11-15 16:45:00,11.135000000000002
2021-11-15 17:00:00,11.21
